id,olng,olat,dlng,dlat,Ts,OnD,Tr,Cep,Tp,Td,WT,VT,D
29,-71.118953,42.373568,-71.086319,42.362396,319.5,True,1800.0946267902211,1800.0946267902211,1946.1,2266.2,146.00537320977878,320.0999999999999,1.0018779342723
30,-71.086319,42.362396,-71.103823,42.354241,163.4,True,1801.742995655915,1801.742995655915,1950.1,2115.2,148.357004344085,165.0999999999999,1.0104039167686654
31,-71.102711,42.364923,-71.104143,42.379222,201.5,True,1815.985149459891,1815.985149459891,1919.1,2120.6,103.11485054010882,201.5,1.0
32,-71.118953,42.373568,-71.086319,42.362396,319.5,True,1833.8882614404301,1833.8882614404301,2069.2,2502.3,235.31173855956968,433.10000000000036,1.3555555555555567
33,-71.118953,42.373568,-71.086319,42.362396,319.5,True,1840.7874155003938,1840.7874155003938,1860,2397.1,19.212584499606237,537.0999999999999,1.6810641627543033
34,-71.093499,42.359121,-71.118953,42.373568,192.8,True,1895.4832276159793,1895.4832276159793,2008.0,2200.8,112.51677238402067,192.80000000000018,1.0000000000000009
35,-71.093499,42.359121,-71.118953,42.373568,192.8,True,1909.4949582520887,1909.4949582520887,1931.6,2124.4,22.105041747911173,192.80000000000018,1.0000000000000009
36,-71.103823,42.354241,-71.089973,42.368276,223.4,True,1934.8648952080239,1934.8648952080239,2115.2,2339.9,180.33510479197594,224.70000000000027,1.0058191584601623
37,-71.089973,42.368276,-71.102711,42.364923,152.6,True,2011.7590328400013,2011.7590328400013,2239.2,2391.5,227.44096715999854,152.30000000000018,0.9980340760157286
38,-71.090304,42.362369,-71.101767,42.359878,104.5,True,2080.2227396000517,2080.2227396000517,2158.5,2263.4,78.27726039994832,104.90000000000009,1.003827751196173
39,-71.089973,42.368276,-71.102711,42.364923,152.6,True,2091.702120080103,2091.702120080103,2339.9,2492.5,248.19787991989688,152.5999999999999,0.9999999999999994
40,-71.101767,42.359878,-71.085837,42.360482,174.7,True,2156.941763466727,2156.941763466727,2263.4,2439.6,106.45823653327307,176.19999999999982,1.008586147681739
41,-71.103823,42.354241,-71.089973,42.368276,223.4,True,2237.2724043665717,2237.2724043665717,2429.6,2653.0,192.32759563342825,223.4000000000001,1.0000000000000004
42,-71.102711,42.364923,-71.093499,42.359121,76.7,True,2242.440659164105,2242.440659164105,2341.2,2417.9,98.75934083589482,76.70000000000027,1.0000000000000036
43,-71.089973,42.368276,-71.102711,42.364923,152.6,True,2268.7737390769003,2268.7737390769003,2339.9,2492.5,71.12626092309984,152.5999999999999,0.9999999999999994
44,-71.103823,42.354241,-71.089973,42.368276,223.4,True,2275.712275888567,2275.712275888567,2563.2,2788.2,287.4877241114327,225.0,1.0071620411817368
45,-71.089973,42.368276,-71.102711,42.364923,152.6,True,2282.3633487218945,2282.3633487218945,2339.9,2492.5,57.53665127810564,152.5999999999999,0.9999999999999994
46,-71.090304,42.362369,-71.101767,42.359878,104.5,True,2282.476548240866,2282.476548240866,2519.4,2624.3,236.92345175913397,104.90000000000009,1.003827751196173
47,-71.090304,42.362369,-71.101767,42.359878,104.5,True,2307.9226742498963,2307.9226742498963,2500.8,2605.3,192.87732575010386,104.5,1.0
48,-71.118953,42.373568,-71.086319,42.362396,319.5,True,2317.708475753112,2317.708475753112,2340,2659.5,22.291524246888002,319.5,1.0
49,-71.104143,42.379222,-71.090304,42.362369,258.1,True,2546.0679483614563,2546.0679483614563,2550,2808.4,3.932051638543726,258.4000000000001,1.0011623401782257
50,-71.086319,42.362396,-71.103823,42.354241,163.4,True,2567.4784549485726,2567.4784549485726,2580,2743.4,12.521545051427438,163.4000000000001,1.0000000000000004
51,-71.103823,42.354241,-71.089973,42.368276,223.4,True,2587.3147159507193,2587.3147159507193,2778.5,3001.9,191.18528404928065,223.4000000000001,1.0000000000000004
52,-71.086319,42.362396,-71.103823,42.354241,163.4,True,2587.8351011018117,2587.8351011018117,2756.5,2919.9,168.6648988981883,163.4000000000001,1.0000000000000004
53,-71.090304,42.362369,-71.101767,42.359878,104.5,True,2663.3865244673375,2663.3865244673375,2750.4,2854.9,87.0134755326626,104.5,1.0
54,-71.090304,42.362369,-71.101767,42.359878,104.5,True,2675.305474089396,2675.305474089396,2806.6,2911.1,131.29452591060408,104.5,1.0
55,-71.103823,42.354241,-71.089973,42.368276,223.4,True,2756.4501534650167,2756.4501534650167,3004.7,3228.1,248.24984653498313,223.4000000000001,1.0000000000000004
56,-71.102711,42.364923,-71.104143,42.379222,201.5,True,2766.536089910628,2766.536089910628,2915.5,3117.0,148.9639100893719,201.5,1.0
57,-71.101767,42.359878,-71.085837,42.360482,174.7,True,2917.038512019981,2917.038512019981,2940,3114.7,22.961487980018774,174.69999999999982,0.999999999999999
58,-71.089973,42.368276,-71.102711,42.364923,152.6,True,3009.4697211243133,3009.4697211243133,3030,3182.6,20.53027887568669,152.5999999999999,0.9999999999999994
